figure	panel	title	module	analysis_script	plot_script	source_workflow	panel_type	status
Fig04	A	Mesenchymal UMAP	figures/Fig04	figures/Fig04/01_analysis.R	figures/Fig04/02_plot.R	workflows/single_cell/01c_lineage_subclustering.R	standard_vector	implemented_v0.4
Fig04	B	Mesenchymal pseudotime branches	figures/Fig04	figures/Fig04/01_analysis.R	figures/Fig04/02_plot.R	workflows/single_cell/03_trajectory_analysis.R	standard_vector	implemented_v0.4
Fig04	C	CAF functional-state radar summary	figures/Fig04	figures/Fig04/01_analysis.R	figures/Fig04/02_plot.R	workflows/single_cell/07_pathway_activity.R	package_native	implemented_v0.4
Fig04	D	myCAF correlations with Basal and TGF-beta scores	figures/Fig04	figures/Fig04/01_analysis.R	figures/Fig04/02_plot.R	workflows/single_cell/07_pathway_activity.R	standard_vector	implemented_v0.4
Fig04	E	Tip-cell correlations with myCAF and hypoxia	figures/Fig04	figures/Fig04/01_analysis.R	figures/Fig04/02_plot.R	workflows/single_cell/07_pathway_activity.R	standard_vector	implemented_v0.4
Fig04	F	Stromal and endothelial spatial maps	figures/Fig04	figures/Fig04/01_analysis.R	figures/Fig04/02_plot.R	workflows/spatial/cell2location/	standard_vector	implemented_v0.4
Fig05	A	Number of inferred interactions	figures/Fig05	figures/Fig05/01_analysis.R	figures/Fig05/02_plot.R	workflows/communication/01_cellchat.R	package_native	implemented_v0.4
Fig05	B	Aggregated interaction strength	figures/Fig05	figures/Fig05/01_analysis.R	figures/Fig05/02_plot.R	workflows/communication/01_cellchat.R	package_native	implemented_v0.4
Fig05	C	Outgoing and incoming communication centrality	figures/Fig05	figures/Fig05/01_analysis.R	figures/Fig05/02_plot.R	workflows/communication/01_cellchat.R	standard_vector	implemented_v0.4
Fig05	D	Selected SPP1 TAM-myCAF ligand-receptor probabilities	figures/Fig05	figures/Fig05/01_analysis.R	figures/Fig05/02_plot.R	workflows/communication/01_cellchat.R	package_native	implemented_v0.4
Fig05	E	TGFB1-(TGFBR1+TGFBR2) spatial signal	figures/Fig05	figures/Fig05/01_analysis.R	figures/Fig05/02_plot.R	workflows/spatial/08_spagene_lr_colocalization.R	standard_vector	implemented_v0.4
Fig05	F	SPP1-(ITGA8+ITGB1) spatial signal	figures/Fig05	figures/Fig05/01_analysis.R	figures/Fig05/02_plot.R	workflows/spatial/08_spagene_lr_colocalization.R	standard_vector	implemented_v0.4
Fig05	G	NMI-Basal SPP1 and TGF-beta spatial communication	figures/Fig05	figures/Fig05/01_analysis.R	figures/Fig05/02_plot.R	workflows/communication/03_cellchat_spatial.R	package_native	implemented_v0.4
Fig05	H	MI-Basal SPP1 and TGF-beta spatial communication	figures/Fig05	figures/Fig05/01_analysis.R	figures/Fig05/02_plot.R	workflows/communication/03_cellchat_spatial.R	package_native	implemented_v0.4
Fig06	A	NMI-Basal spatial co-localization	figures/Fig06	figures/Fig06/01_analysis.R	figures/Fig06/02_plot.R	workflows/spatial/07_cellstate_correlation_colocalization.R	standard_vector	implemented_v0.4
Fig06	B	MI-Basal spatial co-localization	figures/Fig06	figures/Fig06/01_analysis.R	figures/Fig06/02_plot.R	workflows/spatial/07_cellstate_correlation_colocalization.R	standard_vector	implemented_v0.4
Fig06	C	Multiplex immunofluorescence	figures/Fig06	figures/Fig06/01_analysis.R	figures/Fig06/02_plot.R	non-computational source panel; code not applicable	noncomputational	implemented_v0.4
Fig06	D	NicheNet macrophage-derived ligand activity	figures/Fig06	figures/Fig06/01_analysis.R	figures/Fig06/02_plot.R	workflows/communication/02_nichenet_tam_to_mycaf.R	package_native	implemented_v0.4
Fig06	E	NicheNet ligand-receptor prior interaction potential	figures/Fig06	figures/Fig06/01_analysis.R	figures/Fig06/02_plot.R	workflows/communication/02_nichenet_tam_to_mycaf.R	package_native	implemented_v0.4
Fig06	F	MI-associated FAP myCAF ligand-target potential	figures/Fig06	figures/Fig06/01_analysis.R	figures/Fig06/02_plot.R	workflows/communication/02_nichenet_tam_to_mycaf.R	package_native	implemented_v0.4
Fig06	G	Effector-immune programs across Niche1-high boundaries	figures/Fig06	figures/Fig06/01_analysis.R	figures/Fig06/02_plot.R	workflows/spatial/13_effector_boundary_profiles.R	standard_vector	implemented_v0.4
Fig06	H	FAP myCAF receiver-gene overlap across comparisons	figures/Fig06	figures/Fig06/01_analysis.R	figures/Fig06/02_plot.R	workflows/communication/02_nichenet_tam_to_mycaf.R	package_native	implemented_v0.4
Fig07	A	Visium HD RCTD embedding	figures/Fig07	figures/Fig07/01_analysis.R	figures/Fig07/02_plot.R	workflows/spatial/06_external_rctd.R -> workflows/spatial/10_visiumhd_niche_colocalization.R	standard_vector	implemented_v0.4
Fig07	B	Visium HD inferred cell-type map	figures/Fig07	figures/Fig07/01_analysis.R	figures/Fig07/02_plot.R	workflows/spatial/06_external_rctd.R -> workflows/spatial/10_visiumhd_niche_colocalization.R	standard_vector	implemented_v0.4
Fig07	C	External SPP1 TAM-myCAF score	figures/Fig07	figures/Fig07/01_analysis.R	figures/Fig07/02_plot.R	workflows/spatial/06_external_rctd.R -> workflows/spatial/10_visiumhd_niche_colocalization.R	standard_vector	implemented_v0.4
Fig07	D	Basal, luminal and component maps	figures/Fig07	figures/Fig07/01_analysis.R	figures/Fig07/02_plot.R	workflows/spatial/06_external_rctd.R -> workflows/spatial/10_visiumhd_niche_colocalization.R	standard_vector	implemented_v0.4
Fig07	E	GeoMx component-score correlation	figures/Fig07	figures/Fig07/01_analysis.R	figures/Fig07/02_plot.R	workflows/spatial/12_geomx_roi_validation.R	standard_vector	implemented_v0.4
Fig07	F	GeoMx cytotoxic-program associations	figures/Fig07	figures/Fig07/01_analysis.R	figures/Fig07/02_plot.R	workflows/spatial/12_geomx_roi_validation.R	standard_vector	implemented_v0.4
Fig07	G	GeoMx suppressive-program associations	figures/Fig07	figures/Fig07/01_analysis.R	figures/Fig07/02_plot.R	workflows/spatial/12_geomx_roi_validation.R	standard_vector	implemented_v0.4
Fig07	H	Paired Basal-high versus luminal-high comparison	figures/Fig07	figures/Fig07/01_analysis.R	figures/Fig07/02_plot.R	workflows/spatial/06_external_rctd.R -> workflows/spatial/11a_prepare_external_visium_scores.R -> workflows/spatial/11_external_visium_basal_axis.R	standard_vector	implemented_v0.4
Fig07	I	Paired Visium validation maps	figures/Fig07	figures/Fig07/01_analysis.R	figures/Fig07/02_plot.R	workflows/spatial/06_external_rctd.R -> workflows/spatial/11a_prepare_external_visium_scores.R -> workflows/spatial/11_external_visium_basal_axis.R	standard_vector	implemented_v0.4
Fig08	A	SPP1 expression in adjacent and malignant epithelial cells	figures/Fig08	figures/Fig08/01_analysis.R	figures/Fig08/02_plot.R	workflows/single_cell/01b_annotation_and_markers.R -> workflows/single_cell/08_marker_visualization.R	standard_vector	implemented_v0.4
Fig08	B	Malignant-epithelial virtual-knockout enrichment	figures/Fig08	figures/Fig08/01_analysis.R	figures/Fig08/02_plot.R	workflows/single_cell/10_spp1_virtual_knockout.R	standard_vector	implemented_v0.4
Fig08	C	SPP1 siRNA qRT-PCR	figures/Fig08	figures/Fig08/01_analysis.R	figures/Fig08/02_plot.R	non-computational source panel; code not applicable	noncomputational	implemented_v0.4
Fig08	D	SPP1 knockdown western blot	figures/Fig08	figures/Fig08/01_analysis.R	figures/Fig08/02_plot.R	non-computational source panel; code not applicable	noncomputational	implemented_v0.4
Fig08	E	J82 cell-viability assay	figures/Fig08	figures/Fig08/01_analysis.R	figures/Fig08/02_plot.R	non-computational source panel; code not applicable	noncomputational	implemented_v0.4
Fig08	F	Transwell migration and invasion	figures/Fig08	figures/Fig08/01_analysis.R	figures/Fig08/02_plot.R	non-computational source panel; code not applicable	noncomputational	implemented_v0.4
Fig08	G	Conditioned-medium HUVEC tube-formation assay	figures/Fig08	figures/Fig08/01_analysis.R	figures/Fig08/02_plot.R	non-computational source panel; code not applicable	noncomputational	implemented_v0.4
Fig09	A	Selected VEGFA TAN-tip EC ligand-receptor probabilities	figures/Fig09	figures/Fig09/01_analysis.R	figures/Fig09/02_plot.R	workflows/communication/01_cellchat.R	package_native	implemented_v0.4
Fig09	B	VEGFA-VEGFR1 spatial signal	figures/Fig09	figures/Fig09/01_analysis.R	figures/Fig09/02_plot.R	workflows/spatial/08_spagene_lr_colocalization.R	standard_vector	implemented_v0.4
Fig09	C	NAMPT-INSR spatial signal	figures/Fig09	figures/Fig09/01_analysis.R	figures/Fig09/02_plot.R	workflows/spatial/08_spagene_lr_colocalization.R	standard_vector	implemented_v0.4
Fig09	D	NMI-Basal VEGFA TAN-tip EC co-localization	figures/Fig09	figures/Fig09/01_analysis.R	figures/Fig09/02_plot.R	workflows/spatial/07_cellstate_correlation_colocalization.R	standard_vector	implemented_v0.4
Fig09	E	MI-Basal VEGFA TAN-tip EC co-localization	figures/Fig09	figures/Fig09/01_analysis.R	figures/Fig09/02_plot.R	workflows/spatial/07_cellstate_correlation_colocalization.R	standard_vector	implemented_v0.4
Fig09	F	Multiplex immunofluorescence	figures/Fig09	figures/Fig09/01_analysis.R	figures/Fig09/02_plot.R	non-computational source panel; code not applicable	noncomputational	implemented_v0.4
Fig10	A	Section-level multiscale pair burden	figures/Fig10	figures/Fig10/01_analysis.R	figures/Fig10/02_plot.R	workflows/spatial/02_multiscale_pair_burden.py	standard_vector	implemented_v0.4
Fig10	B	Permutation-based spatial observed-to-expected	figures/Fig10	figures/Fig10/01_analysis.R	figures/Fig10/02_plot.R	workflows/spatial/02_multiscale_pair_burden.py	standard_vector	implemented_v0.4
Fig10	C	Section-specific signed-distance profiles	figures/Fig10	figures/Fig10/01_analysis.R	figures/Fig10/02_plot.R	workflows/spatial/03_prepare_boundary_input.py -> workflows/spatial/04_infer_boundary_stgrads.R -> workflows/spatial/05_boundary_profiles.R	standard_vector	implemented_v0.4
Fig10	D	GSE319536 continuous Basal-luminal validation	figures/Fig10	figures/Fig10/01_analysis.R	figures/Fig10/02_plot.R	workflows/spatial/06_external_rctd.R -> workflows/spatial/11a_prepare_external_visium_scores.R -> workflows/spatial/11_external_visium_basal_axis.R	standard_vector	implemented_v0.4
Fig10	E	Japan-UTUC cellular-program clinical models	figures/Fig10	figures/Fig10/01_analysis.R	figures/Fig10/02_plot.R	workflows/bulk_clinical_validation/02_japan_utuc_validation.R	standard_vector	implemented_v0.4
Fig11	A	DSS in Basal NMI versus Basal MI	figures/Fig11	figures/Fig11/01_analysis.R	figures/Fig11/02_plot.R	workflows/bulk_clinical_validation/00_prepare_bulk_scores.R -> workflows/bulk_clinical_validation/01_subtype_clinical_analysis.R	standard_vector	implemented_v0.4
Fig11	B	SPP1 and FAP correlations with Basal score	figures/Fig11	figures/Fig11/01_analysis.R	figures/Fig11/02_plot.R	workflows/bulk_clinical_validation/00_prepare_bulk_scores.R -> workflows/bulk_clinical_validation/01_subtype_clinical_analysis.R	standard_vector	implemented_v0.4
Fig11	C	Subtype-classification ROC curves	figures/Fig11	figures/Fig11/01_analysis.R	figures/Fig11/02_plot.R	workflows/bulk_clinical_validation/00_prepare_bulk_scores.R -> workflows/bulk_clinical_validation/01_subtype_clinical_analysis.R	standard_vector	implemented_v0.4
Fig11	D	Joint SPP1-FAP survival stratification	figures/Fig11	figures/Fig11/01_analysis.R	figures/Fig11/02_plot.R	workflows/bulk_clinical_validation/00_prepare_bulk_scores.R -> workflows/bulk_clinical_validation/01_subtype_clinical_analysis.R	standard_vector	implemented_v0.4
Fig11	E	Time-dependent DSS AUC	figures/Fig11	figures/Fig11/01_analysis.R	figures/Fig11/02_plot.R	workflows/bulk_clinical_validation/00_prepare_bulk_scores.R -> workflows/bulk_clinical_validation/01_subtype_clinical_analysis.R	standard_vector	implemented_v0.4
SuppFig01	A	Subtype distribution across stages	supplementary/SuppFig01	supplementary/SuppFig01/01_analysis.R	supplementary/SuppFig01/02_plot.R	workflows/bulk_clinical_validation/00_prepare_bulk_scores.R -> workflows/bulk_clinical_validation/01_subtype_clinical_analysis.R	standard_vector	implemented_v0.4
SuppFig01	B	Tumor purity within stage	supplementary/SuppFig01	supplementary/SuppFig01/01_analysis.R	supplementary/SuppFig01/02_plot.R	workflows/bulk_clinical_validation/00_prepare_bulk_scores.R -> workflows/bulk_clinical_validation/01_subtype_clinical_analysis.R	standard_vector	implemented_v0.4
SuppFig01	C	Immune, myeloid and stromal marker expression	supplementary/SuppFig01	supplementary/SuppFig01/01_analysis.R	supplementary/SuppFig01/02_plot.R	workflows/bulk_clinical_validation/00_prepare_bulk_scores.R -> workflows/bulk_clinical_validation/01_subtype_clinical_analysis.R	standard_vector	implemented_v0.4
SuppFig01	D	Major-cell-type Sankey summary	supplementary/SuppFig01	supplementary/SuppFig01/01_analysis.R	supplementary/SuppFig01/02_plot.R	workflows/single_cell/01_process_scrna.R	package_native	implemented_v0.4
SuppFig02	A	Single-cell quality-control metrics	supplementary/SuppFig02	supplementary/SuppFig02/01_analysis.R	supplementary/SuppFig02/02_plot.R	workflows/single_cell/01_process_scrna.R	standard_vector	implemented_v0.4
SuppFig02	B	Lineage-marker density maps	supplementary/SuppFig02	supplementary/SuppFig02/01_analysis.R	supplementary/SuppFig02/02_plot.R	workflows/single_cell/01b_annotation_and_markers.R -> workflows/single_cell/08_marker_visualization.R	standard_vector	implemented_v0.4
SuppFig02	C	Major-cell-type proportions	supplementary/SuppFig02	supplementary/SuppFig02/01_analysis.R	supplementary/SuppFig02/02_plot.R	workflows/single_cell/01_process_scrna.R	standard_vector	implemented_v0.4
SuppFig03	A	Annotated single-cell t-SNE	supplementary/SuppFig03	supplementary/SuppFig03/01_analysis.R	supplementary/SuppFig03/02_plot.R	workflows/single_cell/01_process_scrna.R	standard_vector	implemented_v0.4
SuppFig03	B	Cell-level scPagwas adjusted FDR	supplementary/SuppFig03	supplementary/SuppFig03/01_analysis.R	supplementary/SuppFig03/02_plot.R	workflows/genetics/01_scpagwas.R -> workflows/genetics/02_prepare_scpagwas_tables.R	standard_vector	implemented_v0.4
SuppFig03	C	Cell-type scPagwas bootstrap FDR	supplementary/SuppFig03	supplementary/SuppFig03/01_analysis.R	supplementary/SuppFig03/02_plot.R	workflows/genetics/01_scpagwas.R -> workflows/genetics/02_prepare_scpagwas_tables.R	standard_vector	implemented_v0.4
SuppFig04	A	H&E images of profiled sections	supplementary/SuppFig04	supplementary/SuppFig04/01_analysis.R	supplementary/SuppFig04/02_plot.R	non-computational source panel; code not applicable	noncomputational	implemented_v0.4
SuppFig04	B	q05 abundance Leiden niches	supplementary/SuppFig04	supplementary/SuppFig04/01_analysis.R	supplementary/SuppFig04/02_plot.R	workflows/spatial/cell2location/	standard_vector	implemented_v0.4
SuppFig04	C	cell2location cell-state maps	supplementary/SuppFig04	supplementary/SuppFig04/01_analysis.R	supplementary/SuppFig04/02_plot.R	workflows/spatial/cell2location/	standard_vector	implemented_v0.4
SuppFig04	D	Spatial Basal signature	supplementary/SuppFig04	supplementary/SuppFig04/01_analysis.R	supplementary/SuppFig04/02_plot.R	workflows/spatial/01_visium_preprocessing.R	standard_vector	implemented_v0.4
SuppFig05	A	Adjacent-epithelial-reference inferCNV heatmap	supplementary/SuppFig05	supplementary/SuppFig05/01_analysis.R	supplementary/SuppFig05/02_plot.R	workflows/single_cell/02a_infercnv_adjacent_epithelial_reference.R	package_native	implemented_v0.4
SuppFig05	B	Malignant epithelial UMAP	supplementary/SuppFig05	supplementary/SuppFig05/01_analysis.R	supplementary/SuppFig05/02_plot.R	workflows/single_cell/02a_infercnv_adjacent_epithelial_reference.R	standard_vector	implemented_v0.4
SuppFig05	C	CytoTRACE2 and Monocle3 trajectories	supplementary/SuppFig05	supplementary/SuppFig05/01_analysis.R	supplementary/SuppFig05/02_plot.R	workflows/single_cell/04_cytotrace2.R -> workflows/single_cell/03b_monocle3_robustness.R	standard_vector	implemented_v0.4
SuppFig05	D	Basal-marker density	supplementary/SuppFig05	supplementary/SuppFig05/01_analysis.R	supplementary/SuppFig05/02_plot.R	workflows/single_cell/01b_annotation_and_markers.R -> workflows/single_cell/08_marker_visualization.R	standard_vector	implemented_v0.4
SuppFig05	E	Malignant-state spatial maps	supplementary/SuppFig05	supplementary/SuppFig05/01_analysis.R	supplementary/SuppFig05/02_plot.R	workflows/spatial/cell2location/	standard_vector	implemented_v0.4
SuppFig05	F	Cancer_c0 and Cancer_c3 niche distribution	supplementary/SuppFig05	supplementary/SuppFig05/01_analysis.R	supplementary/SuppFig05/02_plot.R	workflows/spatial/cell2location/	standard_vector	implemented_v0.4
SuppFig05	G	Cancer_c0 and Cancer_c3 DSS	supplementary/SuppFig05	supplementary/SuppFig05/01_analysis.R	supplementary/SuppFig05/02_plot.R	workflows/bulk_clinical_validation/00_prepare_bulk_scores.R -> workflows/bulk_clinical_validation/01_subtype_clinical_analysis.R	standard_vector	implemented_v0.4
SuppFig05	H	Top malignant regulons	supplementary/SuppFig05	supplementary/SuppFig05/01_analysis.R	supplementary/SuppFig05/02_plot.R	workflows/single_cell/05_pyscenic.sh	standard_vector	implemented_v0.4
SuppFig05	I	Cancer_c0 enrichment	supplementary/SuppFig05	supplementary/SuppFig05/01_analysis.R	supplementary/SuppFig05/02_plot.R	workflows/single_cell/06_functional_enrichment.R	standard_vector	implemented_v0.4
SuppFig05	J	PROGENy activity	supplementary/SuppFig05	supplementary/SuppFig05/01_analysis.R	supplementary/SuppFig05/02_plot.R	workflows/single_cell/07_pathway_activity.R	standard_vector	implemented_v0.4
SuppFig06	A	Top markers and GO terms	supplementary/SuppFig06	supplementary/SuppFig06/01_analysis.R	supplementary/SuppFig06/02_plot.R	workflows/single_cell/06_functional_enrichment.R	standard_vector	implemented_v0.4
SuppFig06	B	Monocle2 DDRTree malignant trajectory	supplementary/SuppFig06	supplementary/SuppFig06/01_analysis.R	supplementary/SuppFig06/02_plot.R	workflows/single_cell/03_trajectory_analysis.R	package_native	implemented_v0.4
SuppFig06	C	Monocle3 robustness embeddings	supplementary/SuppFig06	supplementary/SuppFig06/01_analysis.R	supplementary/SuppFig06/02_plot.R	workflows/single_cell/03b_monocle3_robustness.R	standard_vector	implemented_v0.4
SuppFig06	D	Representative regulon activities	supplementary/SuppFig06	supplementary/SuppFig06/01_analysis.R	supplementary/SuppFig06/02_plot.R	workflows/single_cell/05_pyscenic.sh	standard_vector	implemented_v0.4
SuppFig06	E	Cancer_c3 Hallmark enrichment	supplementary/SuppFig06	supplementary/SuppFig06/01_analysis.R	supplementary/SuppFig06/02_plot.R	workflows/single_cell/06_functional_enrichment.R	standard_vector	implemented_v0.4
SuppFig06	F	Section-specific Cancer_c3 boundary profiles	supplementary/SuppFig06	supplementary/SuppFig06/01_analysis.R	supplementary/SuppFig06/02_plot.R	workflows/spatial/03_prepare_boundary_input.py -> workflows/spatial/04_infer_boundary_stgrads.R -> workflows/spatial/05_boundary_profiles.R	standard_vector	implemented_v0.4
SuppFig06	G	Malignant programs along the external Basal-luminal continuum	supplementary/SuppFig06	supplementary/SuppFig06/01_analysis.R	supplementary/SuppFig06/02_plot.R	workflows/spatial/06_external_rctd.R -> workflows/spatial/11a_prepare_external_visium_scores.R -> workflows/spatial/11_external_visium_basal_axis.R	standard_vector	implemented_v0.4
SuppFig06	H	Japan-UTUC Cancer_c3 muscle-invasion models	supplementary/SuppFig06	supplementary/SuppFig06/01_analysis.R	supplementary/SuppFig06/02_plot.R	workflows/bulk_clinical_validation/02_japan_utuc_validation.R	standard_vector	implemented_v0.4
SuppFig07	A	Canonical marker dot plot	supplementary/SuppFig07	supplementary/SuppFig07/01_analysis.R	supplementary/SuppFig07/02_plot.R	workflows/single_cell/01b_annotation_and_markers.R -> workflows/single_cell/08_marker_visualization.R	package_native	implemented_v0.4
SuppFig07	B	Markers and GO terms	supplementary/SuppFig07	supplementary/SuppFig07/01_analysis.R	supplementary/SuppFig07/02_plot.R	workflows/single_cell/06_functional_enrichment.R	standard_vector	implemented_v0.4
SuppFig07	C	Subcluster density along pseudotime	supplementary/SuppFig07	supplementary/SuppFig07/01_analysis.R	supplementary/SuppFig07/02_plot.R	workflows/single_cell/03_trajectory_analysis.R	standard_vector	implemented_v0.4
SuppFig07	D	CCR2-SPP1 co-localization and M2 spatial scores	supplementary/SuppFig07	supplementary/SuppFig07/01_analysis.R	supplementary/SuppFig07/02_plot.R	workflows/spatial/07_cellstate_correlation_colocalization.R -> workflows/spatial/09_spacet_gene_set_scores.R	standard_vector	implemented_v0.4
SuppFig07	E	Dendritic-cell DSS	supplementary/SuppFig07	supplementary/SuppFig07/01_analysis.R	supplementary/SuppFig07/02_plot.R	workflows/bulk_clinical_validation/00_prepare_bulk_scores.R -> workflows/bulk_clinical_validation/01_subtype_clinical_analysis.R	standard_vector	implemented_v0.4
SuppFig08	A	Lymphoid UMAP	supplementary/SuppFig08	supplementary/SuppFig08/01_analysis.R	supplementary/SuppFig08/02_plot.R	workflows/single_cell/01c_lineage_subclustering.R	standard_vector	implemented_v0.4
SuppFig08	B	CD4 functional programs	supplementary/SuppFig08	supplementary/SuppFig08/01_analysis.R	supplementary/SuppFig08/02_plot.R	workflows/single_cell/07_pathway_activity.R	standard_vector	implemented_v0.4
SuppFig08	C	Lymphoid-state DSS	supplementary/SuppFig08	supplementary/SuppFig08/01_analysis.R	supplementary/SuppFig08/02_plot.R	workflows/bulk_clinical_validation/00_prepare_bulk_scores.R -> workflows/bulk_clinical_validation/01_subtype_clinical_analysis.R	standard_vector	implemented_v0.4
SuppFig08	D	CD8 relative enrichment	supplementary/SuppFig08	supplementary/SuppFig08/01_analysis.R	supplementary/SuppFig08/02_plot.R	workflows/single_cell/09_roe_composition.R	standard_vector	implemented_v0.4
SuppFig08	E	Spatial T-cell program scores	supplementary/SuppFig08	supplementary/SuppFig08/01_analysis.R	supplementary/SuppFig08/02_plot.R	workflows/spatial/09_spacet_gene_set_scores.R	standard_vector	implemented_v0.4
SuppFig09	A	CD4 T-cell UMAP	supplementary/SuppFig09	supplementary/SuppFig09/01_analysis.R	supplementary/SuppFig09/02_plot.R	workflows/single_cell/01c_lineage_subclustering.R	standard_vector	implemented_v0.4
SuppFig09	B	CD4 markers and functions	supplementary/SuppFig09	supplementary/SuppFig09/01_analysis.R	supplementary/SuppFig09/02_plot.R	workflows/single_cell/06_functional_enrichment.R	standard_vector	implemented_v0.4
SuppFig09	C	CD4 relative enrichment	supplementary/SuppFig09	supplementary/SuppFig09/01_analysis.R	supplementary/SuppFig09/02_plot.R	workflows/single_cell/09_roe_composition.R	standard_vector	implemented_v0.4
SuppFig09	D	CD8 T-cell UMAP	supplementary/SuppFig09	supplementary/SuppFig09/01_analysis.R	supplementary/SuppFig09/02_plot.R	workflows/single_cell/01c_lineage_subclustering.R	standard_vector	implemented_v0.4
SuppFig09	E	CD8 markers and functions	supplementary/SuppFig09	supplementary/SuppFig09/01_analysis.R	supplementary/SuppFig09/02_plot.R	workflows/single_cell/06_functional_enrichment.R	standard_vector	implemented_v0.4
SuppFig09	F	CD8 functional programs	supplementary/SuppFig09	supplementary/SuppFig09/01_analysis.R	supplementary/SuppFig09/02_plot.R	workflows/single_cell/07_pathway_activity.R	standard_vector	implemented_v0.4
SuppFig09	G	B-cell DSS	supplementary/SuppFig09	supplementary/SuppFig09/01_analysis.R	supplementary/SuppFig09/02_plot.R	workflows/bulk_clinical_validation/00_prepare_bulk_scores.R -> workflows/bulk_clinical_validation/01_subtype_clinical_analysis.R	standard_vector	implemented_v0.4
SuppFig09	H	Lymphoid-marker correlations	supplementary/SuppFig09	supplementary/SuppFig09/01_analysis.R	supplementary/SuppFig09/02_plot.R	workflows/bulk_clinical_validation/00_prepare_bulk_scores.R -> workflows/bulk_clinical_validation/01_subtype_clinical_analysis.R	standard_vector	implemented_v0.4
